key|display_title|description
http://purl.org/au-research/grants/nhmrc/2040839|Responsive, effective, efficient & accountable action for adolescent health in the Asia Pacific.|More than half of the world's adolescents live in the Asia Pacific region, and my earlier work showing these young people to have substantial unmet health needs. MY VISION for the next five years is to define the best actions for adolescent health in our region. By ‘best actions’, I mean actions that are responsive to specific needs, effective because they are evidence based and implementable, efficient because they are cost-effective and synergistic, and monitored to ensure accountability.
http://purl.org/au-research/grants/nhmrc/2040880|Integrating monogenic and polygenic epilepsy risk factors to advance molecular diagnoses and to understand disease risk|Epilepsy is a common neurological disease with many different types. Certain types of epilepsy are known to have a genetic basis; however, large gaps remain in our understanding. This project aims to fill in the gaps by studying patients and families with epilepsy to discover new epilepsy genes and risk factors. Knowing the genes and biological pathways involved in disease manifestation will inform future research, provide new therapeutic avenues, and lead to better patient outcomes.
http://purl.org/au-research/grants/nhmrc/2040897|Climate change, bushfire smoke, and human health: multi-country and multi-omics approach|Human-induced climate change (HICC) has already caused many problems including increasing health burden caused by bushfire smoke. This project will: 1) quantify global and country-specific bushfire smoke exposure caused by HICC and the related health burden during 2000-2025; 2) determine biomarkers and biological mechanisms that can detect and explain the health impacts of bushfire smoke. The outputs will inform targeted and effective preventions and interventions and promote climate actions.
http://purl.org/au-research/grants/nhmrc/2040909|Guiding and delivering maternity healthcare that is free of weight stigma|Two thirds of pregnant women experience frequent weight stigma, especially in healthcare. It has harmful effects on pregnancy and health outcomes. This research will address weight stigma in maternity healthcare and guidelines that inform care. It will generate new evidence on women’s experiences of weight stigma and its impacts, update guidelines to be non-stigmatising and implement better care into practice. Eliminating weight stigma from maternity care will improve women’s health outcomes.
http://purl.org/au-research/grants/nhmrc/2040904|Better evidence and translation for healthcare associated infection prevention|1 in 10 people admitted to hospital develop an infection as a complication of their healthcare. These infections lead to significant patient suffering and unnecessary deaths. Current methods for infection prevention and control are complex, inefficient and costly. In partnership with Queensland Health services and patients, I will develop state-of-the-art systems and knowledge translation solutions that inform infection control programs and combat rising infection-associated death rates.
http://purl.org/au-research/grants/nhmrc/2040907|Harnessing incidental physical activity and other 24-hour physical behaviour to prevent CVD and cancer|Physical activity, sitting and sleep – termed “physical behaviours” – are major determinants of risk for cardiovascular disease and cancer, but we do not know what the optimal patterns of daily physical behaviour are. My program will harness the power of wearable devices to optimise guidelines and prevention practice by identifying the combined potential of more incidental physical activity, less sitting, and better sleep for CVD and cancer risk reduction.
http://purl.org/au-research/grants/nhmrc/2040902|Capturing high-resolution epigenomes to redirect cell destiny in neurological disease states|The epigenome is the master regulator of cell fate and function, and subject to spectacular failure in disease. With frontier methodologies to capture epigenomes at unprecedented resolution, this project will focus on the aging brain to determine how brain cell-specific epigenetic changes drive neurological disease states in males and females, and importantly, how to reverse them. This work bridges the gap between technology and fundamental knowledge with the goal to improve future therapies.
http://purl.org/au-research/grants/nhmrc/2040856|Guiding Group A Streptococcus vaccines into clinical development.|Group A Streptococcus (StrepA) causes serious infections and autoimmune sequelae resulting in &gt;500,000 deaths/year. Alarmingly, invasive StrepA infections are increasing in Australia. StrepA induced rheumatic heart disease principally afflicts Australian Indigenous populations. A commercial vaccine to prevent StrepA infection is not available, but in partnership with vaccine manufacturers, my research team will progress StrepA vaccine formulations into clinical development.
http://purl.org/au-research/grants/nhmrc/2040846|Development of Novel Anticoagulants with Improved Safety Profiles for Stroke Therapy|This project will use cutting-edge technologies to discover safe and effective new ‘clot busting’ therapies for stroke. Strokes are caused by blockages in blood flow to the brain, starving the tissues of oxygen and nutrients. One Australian suffers a stroke about every 19 mins, but the only therapy available does not work for many patients. Our novel anticoagulants are expected to dissolve clots without risky bleeding to save lives, prevent disability and reduce the enormous burden of stroke.
http://purl.org/au-research/grants/nhmrc/2040939|Using sodium ascorbate to reduce neuroinflammation and delirium after cardiac surgery|Patients who require cardiac surgery have a 40–50% risk of developing an acute brain injury after their operation. These complications increase the risk of dying after surgery, and can reduce long-term quality of life substantially. A specially formulated solution of mega-dose Vitamin C appears very effective to prevent, or to reduce the severity of this condition. My program of research will establish the best dose of this therapy, how it works, and its safety in large animals and humans
http://purl.org/au-research/grants/nhmrc/2040918|Thwarting Rare Blood Cancer in Kids with Single-cell Innovation (TRaCKIn)|"My research will innovate new approaches to predict relapse and develop more effective cancer vaccines for children with a rare but deadly form of blood cancer. I will achieve this by tracking unique gene signatures, akin to ""biometric fingerprints"" unique to each child's individual cancer and immune cell, during the treatment and remission phases. This will improve cancer relapse monitoring and tailor cancer vaccine development towards each child, safeguarding and improving their lives."
http://purl.org/au-research/grants/nhmrc/2040938|Uncovering the molecular mechanisms associated with exercise to develop therapies to treat obesity-related diseases|Obesity can lead to many diseases such as diabetes, cardiovascular disease and cancer. In contrast, regular exercise can prevent or slow the progress of these diseases. To date, we do not know the precise ways obesity or exercise affects either the progression or prevention of these diseases. This research program will attempt to better understand what obesity and exercise do to the body, so that we can develop new and better drugs to treat diseases associated with obesity.
http://purl.org/au-research/grants/nhmrc/2040943|Advancing evidence synthesis methods to collaboratively improve child health outcomes|To answer health research questions researchers traditionally bring together results from studies published in journals. But often, not all required information is available in these articles. New methods bring together full datasets of previous studies. My research program will advance these methods, looking at how to find and exclude fraudulent or low-quality studies and reduce bias or ‘spin’ in interpretation. I will apply these methods to answer crucial questions on care of premature babies.
http://purl.org/au-research/grants/nhmrc/2040972|Novel Neurobiological Treatment Mechanisms in Eating Disorders|Approximately 1.1 million Australians have eating disorders, but current treatments are ineffective, and developing new medications has stalled. My research will use advanced brain imaging technology to study how new drugs affect brain pathways in eating disorders. I will conduct studies on the impact of tirzepatide in binge eating disorder, ketamine for anorexia nervosa with depression, and orexin levels in bulimia. This work will aid in launching new treatment options for eating disorders.
http://purl.org/au-research/grants/nhmrc/2040955|Nutritional Psychiatry: Clarifying Mechanisms to Support Precision Interventions|Poor diet is a leading contributor to illness and death globally, and mental disorders are a major cause of disability. I have pioneered the field of Nutritional Psychiatry, establishing the link between diet and mental health. My research program will now generate critical new evidence on how diet influences mental health, supporting better interventions and outcomes for people with depression.
http://purl.org/au-research/grants/nhmrc/2040965|Unlocking the therapeutic potential of anti-inflammatory mesenchymal stromal cells through a refined mode of action|Cell therapy involves injecting specific types of cells into the bloodstream during disease for treatment. Mesenchymal stromal cells are a specialised type of cell that hold great potential in reducing inflammation in disease; however, they have shown mixed success in clinical trials to date. This project aims to uncover how these cells work in the body and discover innovative anti-inflammatory therapeutic targets that will improve patient outcomes.
http://purl.org/au-research/grants/nhmrc/2040971|Transforming Epilepsy Management through Evidence-Driven Approaches|Epilepsy is a major health issue, affecting over 250,000 Australians of all ages. Early diagnosis and treatment improve outcomes, but many Australians experiencing first seizures do not receive care that meets international standards. Additionally, half of those with epilepsy do not take their antiseizure medication as prescribed. My research program will use national healthcare data and interviews with people with epilepsy to find the best ways to improve epilepsy care and close knowledge gaps.
http://purl.org/au-research/grants/nhmrc/2041062|Enhanced analysis of splice-altering variants to improve diagnostic rate in rare disease|RNA is the ‘voice’ of our DNA, allowing fine-tuning of our genetic code. Changes in our DNA that alter RNA splicing can cause disease; however, RNA splicing variants are hard for clinicians to interpret. My research vision is to build tools to interpret RNA splicing variants. These tools will help diagnose more individuals with rare genetic disorders, providing families access to support groups, informed treatment options, knowledge of disease progression, and genetic therapies.
http://purl.org/au-research/grants/nhmrc/2041040|Improving cardiopulmonary outcomes in systemic sclerosis|Worldwide, Australia has the highest frequency of the autoimmune disease scleroderma, which affects people in the prime of life. Scleroderma can involve many organs within the body, particularly the heart and the lungs, and is associated with impaired physical function and markedly reduced life expectancy. This program of research aims to improve the outlook for those affected, through finding ways to determine who is at risk of poor outcomes and tailoring management to the individual.
http://purl.org/au-research/grants/nhmrc/2041054|Targeting the bi-directional relationship between diet and microbes to optimise pouch health|After large bowel is removed in ulcerative colitis, inflammation of the pouch (pouchitis) commonly occurs. Diet is currently not part of the treatment plan for pouchitis. My research aims revolutionise its future management by understanding (1) what factors in diet and the pouch bacteria predict pouchitis, (2) how the pouch bacteria respond to diet in pouchitis, and (3) testing whether a specific diet strategy directed at the pouch bacteria is effective for these patients.
http://purl.org/au-research/grants/nhmrc/2040973|Generating a universal influenza vaccine|Influenza is a highly contagious, rapidly spreading respiratory pathogen that causes profound morbidity and mortality. Current influenza vaccines are suboptimal, they need to be updated and administered annually, and provide no protection in the event of a pandemic influenza outbreak. This research program will see the development of a novel universal 'one-shot’ influenza vaccine that provides long term protection against both seasonal and newly emerging pandemic influenza strains.
http://purl.org/au-research/grants/nhmrc/2041012|Unravelling immune responses to severe respiratory viral infection and vaccination in humans|We develop robust & long-lasting immune responses to respiratory viral infections, yet some people still fall very ill despite being vaccinated. I will investigate immune responses that protect us from severe & fatal infections; understand why some people fail to generate protective antibodies to the flu vaccine; & identify key biomarkers aimed at reducing influenza disease impact in high-risk groups. This work will improve future vaccination regimens towards influenza & newly-emerging viruses.
http://purl.org/au-research/grants/nhmrc/2040986|Transforming Lives: Transplant for All and One Transplant for Life|Kidney transplantation is a life saving treatment for many patients with kidney failure. However, it is not available to all patients who need one due to limited organ availability. Once transplanted, there are also many challenges including increased cancer and infection risks, and early graft loss from rejection. This program of work will implement novel interventions and strategies to drive sustainable improvements in health outcomes and overall well-being of kidney transplant patients.
http://purl.org/au-research/grants/nhmrc/2041052|Identifying molecular determinants of antiviral immunity conferred by effector T cells|Primary immunodeficiencies arise from an error in a single gene in an individual from birth. As a result, many patients experience complications including increased susceptibility to life-threatening viral infections, severe allergies, and early-onset cancer. My research will uncover the immunological impact of such errors to support the identification of personalised treatments that alleviate symptoms and enhance patients’ quality of life.
http://purl.org/au-research/grants/nhmrc/2041019|Pathways to vision following lesions of the primary visual cortex|Vision depends not only on the eyes, but also on many brain areas. Without the latter the visual information cannot be decoded, and the person becomes blind even if the eyes are spared. For example, when an area named the primary visual cortex (V1) is damaged by stroke or trauma, a type of profound blindness ensues, for which there is no treatment. I will explore how visual information can be channeled to non-damaged parts of the brain, in search of ways to restore vision following V1 damage.
http://purl.org/au-research/grants/nhmrc/2041048|Creating A “Learning Health System” For Eating Disorder Treatment|Eating disorder (ED) treatment is currently not monitored for quality or safety, and yet we know that at least 50% of those who seek treatment have poor outcomes. This research program will embed a digital system to collect and collate clinical outcomes into ED clinics. The data will be used by consumers, clinicians, researchers and governments not only to tailor individual treatment, but to evaluate treatment at a national scale.
http://purl.org/au-research/grants/nhmrc/2040954|Establishing protective immunity against antigenically diverse viruses|Viruses like influenza and SARS-CoV-2 keep changing to avoid recognition by the immune system. This research program will study how the immune system responds to different variants, with the goal of informing vaccine design. This work will advance our understanding of viral immunology and significantly improve human health.
http://purl.org/au-research/grants/nhmrc/2041127|Unravelling epigenetic mechanisms to improve immunity|Our immune systems protect us remarkably well from a constant barrage of germs. However, this protection must be finely balanced to not overreact (as in asthma) or leave us vulnerable to infection (as in immune deficiency). My research program aims to understand how DNA is read differently in different cells, termed 'epigenetics', despite all cells of the body having the same DNA code, with the ultimate goal to develop new epigenetic-targeting drugs to restore healthy immunity in disease.
http://purl.org/au-research/grants/nhmrc/2041117|Long-lived remodelling of epigenetic state to treat disease|In normal biology, genes can be switched on or off so that the same set of genes can result in many different cell types. If we can harness the power to switch genes on or off therapeutically then we could treat myriad incurable diseases. Here we will apply a new strategy to switch genes on and off. We will develop novel potential treatments for the neurodevelopmental disorder Prader Willi Syndrome and investigate in which other diseases our approach is suitable.
http://purl.org/au-research/grants/nhmrc/2041099|Clinical trials addressing top priorities for stroke research|Stroke affects 29,000 Australians each year, of whom 7,600 die, and there are 387,000 stroke survivors who are at risk of another stroke. The program will address 4 of the top priorities for stroke research for stroke survivors by testing 4 new treatments which aim to protect the brain from damage during an acute stroke, reduce the likelihood of having another stroke, and help stroke survivors decide whether it is beneficial to take blood-thinning medicines to prevent another stroke.
http://purl.org/au-research/grants/nhmrc/2041063|Harnessing Precision Medicine to Combat Infections in Transplant Recipients|Organ transplants are life-saving but require long-term medications to block the immune system to prevent rejection. This means transplant recipients suffer enormously from serious, complex infections. My research program aims to improve the lives of transplant patients by using new tests of immune function to optimize the dosing of immunosuppressive medications, predicting and anticipating those at high risk and intervening before infections occur.
http://purl.org/au-research/grants/nhmrc/2041068|Genetics of speech disorders: improving diagnosis, prognosis and management|Speech and language disorders are one of the most common disorders affecting our nation. Over 50% of children in the NDIS have a speech or language disorder, with an annual cost exceeding $5 billion. Current management focuses on symptoms, not the underlying cause, with limited effectiveness. My work is changing practice, showing the relevance of genetics to Speech Pathology. Research will advance detection, diagnosis, prognostic counselling and treatment of patients to optimise life outcomes.
http://purl.org/au-research/grants/nhmrc/2041123|Bridging the gap between evidence and practice to improve management of anterior cruciate ligament (ACL) injuries|An ACL (the main knee stabilising ligament) tear can have devastating outcomes. Patients are misinformed about treatments and physios lack skills to deliver quality care. We found that ACLs can heal, but we don’t know which ACLs will heal. To improve treatment of ACL tears, I will: 1) test a decision aid to inform patients about treatments 2) outline skills needed for physios to deliver quality care 3) develop and test an online course to train physios 4) discover which ACLs are most likely to heal
http://purl.org/au-research/grants/nhmrc/2041078|You are when you eat ! realising the importance of meal and macronutrient timing for health|Dietary interventions for the prevention and treatment of type 2 diabetes tend to place considerable emphasis on what people eat, with little to no consideration of WHEN they eat. This work will extend current explorations of chrono-nutrition, using continuous glucose monitoring to explore the impacts of meal size, frequency, timing as well as macronutrient content, especially dietary protein, on blood glucose control and health, to develop personalized nutrition strategies to improve health.
http://purl.org/au-research/grants/nhmrc/2041108|Targeting Novel Treatment Mechanisms in Mood and Anxiety Disorders|To reduce the substantial burden of mood and anxiety-related disorders on individuals and society, more effective treatments are needed. I will use advanced brain imaging technology to better understand how current treatments work for people with depression and posttraumatic stress disorder, with the goal of delivering new insights that will inform the development of improved future treatments.
http://purl.org/au-research/grants/nhmrc/2041107|Elimination of Mycobacterium ulcerans infection (Buruli ulcer)|Buruli ulcer is a neglected tropical skin infection caused by a bacterium. Through research led by my team over the past 20 years we now know the infection in Australia is spread by mosquitoes. In this project we will track the pathogen in the environment and eliminate Buruli ulcer by curing the infection in Australian native possums and by innovative mosquito control measures. We will also explore vaccines to prevent Buruli ulcer in humans.
http://purl.org/au-research/grants/nhmrc/2041202|Targeting whole genome duplication as a therapeutic vulnerability in high grade serous ovarian cancer|Ovarian cancer is an area of urgent need for new and effective treatments. I previously found that ovarian cancers which develop whole genome duplication (WGD) early have features that allow cancer cells to hide from the body’s immune system. These patients also have the worst prognosis. My research will explore the differences in ovarian cancer cells with WGD, assess changes linked with WGD even before the cancer is diagnosed, and look for therapeutic targets to treat cancers with WGD.
http://purl.org/au-research/grants/nhmrc/2041168|Periconception mechanisms impacting fertility and pregnancy health|Fertility and pregnancy disorders affect at least one in six intending parents and have long term impacts on women, men and children. This research will define how male and female factors interact before and during conception and develop tools to assist healthy embryo development and pregnancy progression. The goal is to reduce the incidence of infertility and pregnancy disorders, to deliver effective treatment options for these conditions, and maximise health outcomes for infants and families.
http://purl.org/au-research/grants/nhmrc/2041176|Walk and live better: Non-surgical therapies for Australians with peripheral artery disease (PAD)|One million Australians (250 million people worldwide) have blockage of the arteries in the abdomen or legs, causing walking impairment, poor quality of life, major amputation and death. Currently the only treatment for this disease is surgery, but this has durability and safety limitations. This research program will deliver unique clinical trials to test new ways to treat this problem non-surgically with drugs, counselling, medication optimisation and exercise suited to all Australians.
http://purl.org/au-research/grants/nhmrc/2041152|A new molecular era for dementia: Biomarker discovery through to implementation|Dementia diagnosis is evolving from clinical to biologically informed methods, with biomarkers now crucial for diagnosis, treatment, and monitoring. My research has shown the immense potential of blood-biomarkers in Alzheimer's disease (AD) diagnostics. However, there are still gaps to address. Here, I will focus on developing novel biomarkers for non-AD dementias, assess how other health factors affect both AD and non-AD dementia biomarkers, and test how well these biomarkers work in clinics.
http://purl.org/au-research/grants/nhmrc/2041249|Redefining Psychopathology: Empirical Phenotypes Offer a Path to Discovery|It is now clear that traditional approaches to diagnosing mental illness are hindering rather than helping progress in identifying underlying mechanisms, and improving treatment outcomes. My research takes a new approach, following the patterns in how symptoms naturally co-occur to define so-called ‘empirical phenotypes’. The proposed research will compare different diagnostic systems to determine which ones work best for different purposes, and will develop tools for using them in practice.
http://purl.org/au-research/grants/nhmrc/2041205|Understanding the role of an ancient fusogen in malaria parasite fertilisation and transmission|The global effort toward malaria elimination requires an array of tools to prevent, treat and block transmission of the malaria parasite. Blocking transmission involves targeting proteins that are essential for malaria parasite fertilisation in mosquitos, thereby preventing mosquito to human transmission. Understanding how these proteins work and discovering new fertilisation proteins is essential for developing effective interventions, like antibody treatments, to prevent transmission.
http://purl.org/au-research/grants/nhmrc/2041226|Identification, Validation and Therapy of Autoinflammatory Diseases|Mutations of our genetic code can affect cells of our immune system, leading to a functional loss or gain that can cause recurrent infection, or in some cases, promote autoimmunity and autoinflammation. Our investigation of these inborn errors of immunity will advance the understanding of disease mechanisms, and fundamental workings of our immune system, in order to identify and improve therapies that will potentially treat a range of inflammatory diseases.
http://purl.org/au-research/grants/nhmrc/2041194|Unlocking the future of robotic imaging for surgical procedural navigation and verification|Robotic imaging systems have revolutionised surgical interventions. To deliver the future of 3D image guidance for challenging surgical interventions, where options remain limited, I will develop imaging technologies that promise to allow direct in-room surgical verification of orthopaedic hardware, adaptively sync to the patient to mitigate motion without mechanical intervention and facilitate long anatomical sites to be captured in a single image to assess anatomy alignment intraoperatively.
http://purl.org/au-research/grants/nhmrc/2041224|Patient-Centred Platforms for Preclinical Schizophrenia Research and Translation|Schizophrenia is a complex and severe brain disorder that can affect how someone thinks, feels, and behaves. The biological cause of schizophrenia likely differs from patient to patient, making it hard to develop optimal treatments that benefit all patients. This project is designed to develop personalised insights into schizophrenia by harnessing the power of stem cell science, genetics and neuroimaging. These insights could lead to improved diagnosis and tailored treatments for schizophrenia.
http://purl.org/au-research/grants/nhmrc/2041331|Improving Prostate Cancer Outcomes by Integrating Novel Imaging and Targeted Therapy (theranostics) for Personalised Medicine|This research aims to dramatically improve outcomes for patients with prostate cancer, which currently exceed 3500 in Australia annually, by using a technology called theranostics. Theranostics uses radioactive tumour seeking molecules to integrate whole body scanning and a targeted treatment. I will develop new radioactive molecules, perform clinical trials and use artificial intelligence, focussing on approaches with potential for global approval and adoption in less than 5-10 years.
http://purl.org/au-research/grants/nhmrc/2041264|Implementation of genomics for infectious disease surveillance and response in the Northern Territory of Australia|Knowledge about communicable diseases is being transformed by sequencing the genetic material of microbes that cause infections. My program will use genomic sequencing to track and trace infectious diseases in Australia's Northern Territory. This will enhance understanding of disease patterns and support public health efforts while boosting genomics capabilities in northern Australia. The program will focus on three major infections: melioidosis, invasive Group A Streptococcus, and tuberculosis.
http://purl.org/au-research/grants/nhmrc/2041275|Implementation research to eliminate HIV transmission in Australia: a community-based, digital and peer-enhanced approach|This research program will test community-based, digital and peer-enhanced ways of increasing engagement with HIV testing and HIV prevention among gay and bisexual men who are at risk of HIV. This will increase participants’ knowledge of their HIV status and use of effective prevention methods, while also identifying effective forms of engagement and promotion that can be adopted and scaled up by community organisations and governments to further reduce HIV transmission in Australia.
http://purl.org/au-research/grants/nhmrc/2041250|Improving outcomes for patients with systemic lupus erythematosus|The autoimmune disease, systemic lupus erythematosus (SLE, or lupus) predominantly affects young women. SLE causes organ damage, poor quality of life, and early death. Many factors contribute to serial unsuccessful clinical trials and thus a lack of novel therapies, such that patients are still mostly treated with drugs from the 1950s. My research will address key issues in lupus, including measurement tools, biological insights, and developing both broad and specific novel therapies.
http://purl.org/au-research/grants/nhmrc/2041301|Data and Artificial Intelligence for Advancing Cancer Care|This project aims to advance cancer care using AI and data. It will develop benchmarks to ensure AI safety and reduce health disinformation, use AI to improve cancer patient monitoring and early treatment of adverse events, and build an international coalition to drive data transparency for understanding how cancer treatments affect different populations. These efforts will drive scientific discovery, improve clinical care, and set new standards for AI safety and data use in healthcare.
http://purl.org/au-research/grants/nhmrc/2041278|Discovery and validation of drugs and diagnostics to propel a new era of dementia research|Amyloid clearing drugs for Alzheimer’s disease (AD) are a step forward, but their benefits are limited, and we still need to understand much more about this incurable disorder. My program has studied the changes in brain iron in AD and recently linked these to energy failure. My program will illuminate the mechanisms involved, to identify new drug targets, imaging and blood tests, and test new drug candidates.
http://purl.org/au-research/grants/nhmrc/2041273|Using modelling to guide the elimination of hepatitis B, hepatitis C and HIV|I will use epidemic and economic modelling to guide responses to hepatitis B, hepatitis C and HIV in Australia and internationally. I will combine novel data from research studies, surveillance systems and international collaborations to identify affordable packages of effective interventions. My findings will inform resource allocation decisions by governments and global health organisations, saving lives by ensuring that funding is allocated to achieve maximum impact.
http://purl.org/au-research/grants/nhmrc/2041261|Stem cell model systems to reflect global diversity and unlock equitable cardiovascular disease research|Cardiovascular diseases are a leading cause for disease burden and death in Australia. An individual’s genetic blueprint is an important contributor to risk of cardiovascular diseases. Evidence suggests that different ancestral groups have variable risk for developing cardiovascular diseases. My goal is to interrogate cardiovascular diseases across different ancestries to provide a more complete picture of the disease.
http://purl.org/au-research/grants/nhmrc/2041304|Transforming pre-eclampsia risk screening and prevention in low- and middle-income countries|Pre-eclampsia is a pregnancy complication with high blood pressure and organ damage, affecting &gt;6 million women annually. In many low- and middle-income countries (LMICs) women at risk of pre-eclampsia are not identified. This means they do not receive aspirin which can prevent it. My research will determine how risk screening and preventing pre-eclampsia in LMICs can be improved. I will find out which dose of aspirin is best for women and babies and what new drugs can prevent pre-eclampsia.
http://purl.org/au-research/grants/nhmrc/2041379|Improving Aboriginal cancer health outcomes in the precision medicine era|Cancer is one of the biggest diseases affecting Aboriginal people, who have limited access to culturally safe and effective cancer care. 'Precision' cancer care is a new way to use knowledge from our DNA to identify, prevent, diagnose and treat cancer to make sure each person gets the right treatment for them. This research will improve access to and benefit from precision cancer care for Aboriginal people according to an Aboriginal community-defined agenda, improving health outcomes.
